D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
EC:1.1.1.370	285	363	1018	359	305.5	143	1152	405	603	358	214	70	238	261	323	492	917	168	159	1962	87	68	136	317	153
EC:1.1.1.371	0	0	0	49	0	0	202	0	0	181	610	62	11	0	20	0	0	0	0	15	54	198	4130	0	48
EC:1.1.1.373	176	141	125	193	360	331.67	607	1394.71	308.67	407.33	84	162	156	941	1481	2715	192	181	477	142	79	230	146	229	221.5
EC:1.1.1.374	22	3	209	69	488	4	6	9	23	12	21	0	0	5	4	0	5	0	4	7	4	0	0	3	0
EC:1.1.1.38	44474.1	49104.8	34926.19	40599.32	47101	17613.63	29335.7	47335	67698.99	32837.27	21378.56	23236.53	62916.09	54879.4	62082.5	52815.13	50319.97	49220.96	104120.7	50756.81	47534.04	16005.01	23299.84	70499.45	26317.29
EC:1.1.1.380	11268	15568.13	2020.62	3178.84	5824.08	4670	6743.09	13463.29	3020.34	10386.16	2750.33	6630	12755.5	15446.05	21299.05	17226.42	12051.42	11287.79	18898.79	27749.33	15319.66	5828.33	3615.58	8953.88	7575.33
EC:1.1.1.381	11424.17	15740.46	2161.95	3007.67	5598.08	4730	6807.09	13463.29	3015.34	10246.33	2860.33	6637	12813.5	16177.55	22208.05	18541.25	12120.75	11310.79	17961.29	27853.33	15095.33	5682	3109.58	8730.55	7662.5
EC:1.1.1.385	176	128	125	129	347	89	63	82	144	68	84	52	156	446	552	762	192	181	477	110	79	59	43	133	153
EC:1.1.1.39	75	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.4	4006.6	2293.8	5139.2	399.8	5687.8	1927.2	1259.2	1190.2	795.4	724.2	7170.6	765.8	8935.4	3618.8	1704.2	642.4	4089.6	3717.6	3182	1303.8	516.4	910.2	4558.4	2536	1991.2
EC:1.1.1.40	21751.9	24691.11	13483.45	12701.59	31827.67	7197.39	22497.81	35880.02	8030.78	29135.7	21550.87	26658.12	41760.75	27952.97	40405.67	29173.15	27094.35	24159.25	33028.1	33400.97	27167.56	59283.23	51882.28	15519.19	19308.14
EC:1.1.1.41	6152.7	8061.5	8349.15	4982.5	8569.95	1928.1	7973.05	15544.9	14526.35	5128.45	2277.5	8309.5	10753.85	5877.95	8045.08	6640.48	12436.75	17598.5	38445.77	6435.55	22076.25	2858.65	5185.9	5643	3866.5
